backbone,mode,port,params_m,flops_g,best_epoch,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,normal_support,lowvis_precision,lowvis_recall,lowvis_f1,lowvis_support,seafog_precision,seafog_recall,seafog_f1,seafog_support,aber_normal_to_lowvis,aber_normal_to_seafog,aber_lowvis_to_normal,aber_lowvis_to_seafog,aber_seafog_to_lowvis,aber_seafog_to_normal
efficientnet,typeA_3,daesan,52.86,-1.0,5,0.9114064147899996,0.9038888888888889,0.9053687758542512,0.9114064147899992,0.9038888888888889,0.9053687758542512,0.917922948073702,0.9133333333333332,0.9156223893065998,600,0.8162962962962963,0.9183333333333332,0.864313725490196,600,1.0,0.88,0.9361702127659576,600,0.0866666666666666,0.0,0.0816666666666666,0.0,0.12,0.0
efficientnet,typeA_3,gunsan,52.86,-1.0,6,0.8146408072527752,0.7988888888888889,0.7955718283739626,0.8146408072527753,0.7988888888888889,0.7955718283739626,0.8741258741258742,0.8333333333333334,0.8532423208191127,600,0.8587699316628702,0.6283333333333333,0.7256977863330125,600,0.7110266159695817,0.935,0.8077753779697624,600,0.0633333333333333,0.1033333333333333,0.095,0.2766666666666666,0.04,0.025
efficientnet,typeA_3,yeosu,52.86,-1.0,12,0.8005652301597662,0.7383333333333333,0.7184904323377266,0.8005652301597661,0.7383333333333333,0.7184904323377264,0.9260450160771704,0.96,0.9427168576104746,600,0.5718849840255591,0.895,0.6978557504873294,600,0.9037656903765692,0.36,0.5148986889153755,600,0.0316666666666666,0.0083333333333333,0.075,0.03,0.6383333333333333,0.0016666666666666
efficientnet,typeA_3,haeundae,52.86,-1.0,1,0.7208588114263278,0.686111111111111,0.6643549971414023,0.7208588114263278,0.6861111111111111,0.6643549971414023,0.8607594936708861,0.7933333333333333,0.8256721595836947,600,0.5755395683453237,0.9333333333333332,0.7120152574698029,600,0.7262773722627737,0.3316666666666666,0.4553775743707093,600,0.1333333333333333,0.0733333333333333,0.015,0.0516666666666666,0.555,0.1133333333333333
efficientnet,typeA_7,daesan,55.46,-1.0,5,0.909129637246484,0.9055555555555556,0.9057053748777568,0.909129637246484,0.9055555555555556,0.9057053748777568,0.8531157270029673,0.9583333333333334,0.902668759811617,600,0.8831858407079646,0.8316666666666667,0.8566523605150215,600,0.9910873440285204,0.9266666666666666,0.9577950043066322,600,0.0383333333333333,0.0033333333333333,0.1633333333333333,0.005,0.0716666666666666,0.0016666666666666
efficientnet,typeA_7,gunsan,55.46,-1.0,4,0.8422441412810376,0.8316666666666667,0.8300882632285393,0.8422441412810376,0.8316666666666667,0.8300882632285393,0.9276315789473684,0.705,0.8011363636363636,600,0.7569955817378498,0.8566666666666667,0.8037529319781079,600,0.8421052631578947,0.9333333333333332,0.8853754940711462,600,0.2233333333333333,0.0716666666666666,0.04,0.1033333333333333,0.0516666666666666,0.015
efficientnet,typeA_7,yeosu,55.46,-1.0,6,0.8426879627984899,0.7505555555555555,0.7334649010065822,0.8426879627984898,0.7505555555555555,0.7334649010065823,0.9750889679715302,0.9133333333333332,0.9432013769363168,600,0.575098814229249,0.97,0.7220843672456576,600,0.9778761061946902,0.3683333333333333,0.5351089588377724,600,0.085,0.0016666666666666,0.0233333333333333,0.0066666666666666,0.6316666666666667,0.0
efficientnet,typeA_7,haeundae,55.46,-1.0,2,0.7456460713203173,0.7294444444444445,0.7156740742278996,0.7456460713203173,0.7294444444444445,0.7156740742278996,0.8325123152709359,0.845,0.8387096774193549,600,0.6414201183431952,0.9033333333333332,0.7501730103806228,600,0.7630057803468208,0.44,0.5581395348837209,600,0.0816666666666666,0.0733333333333333,0.0333333333333333,0.0633333333333333,0.4233333333333333,0.1366666666666666
xception,typeA_3,daesan,20.81,-1.0,7,0.8988357979433278,0.8955555555555555,0.895397703937053,0.8988357979433277,0.8955555555555555,0.8953977039370529,0.8421828908554573,0.9516666666666668,0.8935837245696401,600,0.8754512635379061,0.8083333333333333,0.8405545927209706,600,0.9788732394366196,0.9266666666666666,0.952054794520548,600,0.0483333333333333,0.0,0.1716666666666666,0.02,0.0666666666666666,0.0066666666666666
xception,typeA_3,gunsan,20.81,-1.0,9,0.8878335129789198,0.8883333333333333,0.8879085841389185,0.8878335129789197,0.8883333333333333,0.8879085841389186,0.8960396039603961,0.905,0.900497512437811,600,0.8630849220103987,0.83,0.8462192013593883,600,0.9043760129659644,0.93,0.9170090386195564,600,0.075,0.02,0.0916666666666666,0.0783333333333333,0.0566666666666666,0.0133333333333333
